pairID,Statement.QUESTION,Statement.RESPONSE,Case_ID.QUESTION,Question_ID.QUESTION
25219,Is there any pus in your sputum? How much?,Nope.,719242,421
25489,Do you have new headaches that you have not experienced previously?,No.,721218,1116
25512,What treatments have you had for your difficulty breathing?,I don't have difficulty breathing ... I am feeling a little short of breath.,721218,590-19
25738,Have you ever been exposed to poison ivy/oak/sumac?,No.,722535,1374
26040,Have you noticed any passage of worms in your stool?,Uh...no.,722870,1227
26359,Do you feel guilty about the amount of alcohol you drink?,Nope.,725237,24
26577,Have you recently lifted something heavy or used your back in unusual ways or postures?,Nope.,725817,1176
26991,Do you awaken at night coughing?,Nope.,727998,95
26993,How often do you check your blood sugar?,Why would I need to do that?,727998,1617
27458,Do you have a history of ulcers inside your mouth?,Uh...no.,730860,630
27693,How long does your back pain last?,Why are you asking me that?  I don't have pain there.,732203,1161
27750,Where more precisely is the pain in your chest?,I don't have any pain.,733017,1332
27953,Is it difficult for you to participate in all or only specific activities?,I haven't had that problem.,733105,441
27971,How often does your knee pain occur?,That doesn't hurt.,733112,599-257
28060,"Are you moving or speaking slowly or fidgeting and restless? If so, how often?",No,733185,705
28086,Do you have HIV?,Uh...no.,733185,137
28087,Have you been previously diagnosed with an immunodeficiency?,Uh...no.,733185,1207
28095,Have you ever been diagnosed with some kind of phlebitis?,Uh...no.,733185,680
28559,Does your cough keep you from sleeping?,I haven't had that problem.,734121,602-12
28561,Do you take anything to help you sleep?,No,734121,86
29392,What does the pain in your arm(s) feel like?,Why are you asking me that?  I don't have pain there.,736064,235-259
29672,Does passage of a stool feel like being cut by glass?,No,736639,170
29742,What does your groin pain feel like?,I really don't have pain.,736992,1255
29859,Do you have any pets?,Uh...no.,738396,466
30190,What time do you get up on weekdays? On weekends?,About the same time. Around 6 or 7 every day.,741044,73
30191,How do you identify yourself in terms of gender?,I don't know why you are asking me this.,741044,753
30194,Has there been any change in your sex drive recently?,Uh..why do you need to know that?,741044,1178
30218,Do you have a history of cystic fibrosis?,Uh...no.,741044,657
30219,Have you been exposed to tuberculosis?,No,741044,686
30715,Do you have hearing loss?,Uh...no.,743368,545-29
30799,What are the events surrounding the start of your fever?,Don't have that problem.,743676,267-25
30817,When did your problem with constipation start?,I don't have that problem.,743676,561-11
30830,When did your jaundice start?,I haven't had that problem.,743676,561-34
30831,What are the events surrounding the start of your jaundice?,I don't really have that problem.,743676,267-34
30832,Does anything make your jaundice better or worse?,That's not a problem for me.,743676,244-34
30851,Does anything make the pain in your chest better or worse?,I don't have pain there.,743676,234-204
30865,Have you ever had hives?,No,743676,1418
30938,How severe is your pain/discomfort with urination?,I haven't had that problem.,743886,543-20
31176,Do you have difficulty keeping your balance?,No,744555,399
31194,How often do you have problems with dizziness?,That's not a problem for me.,744555,541-16
31756,Have you felt any itching around the anus?,Uh...no.,745822,1235
31984,Do you have double vision?,Uh...no.,746880,562
32416,Do you always wear seat belts?,Yup.,747704,623
32537,Have you ever lived in SE Asia or Africa?,Nope.,748492,631
33285,How severe (1-10 scale) is your pelvic pain?,I don't have pain there.,751434,237-273
33975,Does anything make the pain in your back better or worse?,I don't have pain there.,752491,234-203
34806,Has anyone ever told you that you stop breathing or choke while you are sleeping?,No,753515,97
34958,Is the pain in your back superficial (on the surface) or deep inside?,That doesn't hurt.,753881,597-203
34973,Have you had a recent skin infection or cellulitis?,No,753881,1157
35131,Have you had weight loss problems like this before?,No,754033,242-54
35168,Is there any stiffness in your legs?,No,754033,551-263
35170,"Have you lost interest in things that used to give you pleasure? If so, how often do you feel this way?",Uh...no.,754033,33
35171,How would you describe your moods?,Pretty good.  I don't think that's my problem.,754033,27
35248,Has there been any change in your visual disturbances over time?,That's not a problem for me.,754068,439-15
35677,Has there been any change in your diarrhea over time?,I don't really have that problem.,755230,439-14
35799,Was your face sweating?,Nope.,755427,1125
35867,Have you recently been to high altitude?,No,755445,546
35868,Have you recently been in a cold environment?,No.,755445,547
36004,Do you have any pain or other symptoms associated with your constipation?,I haven't had that problem.,755491,598-11
36316,When did your fainting problem start?,That's not a problem for me.,756285,561-48
36368,Do you know how to check your blood sugar?,Yes.,756285,1616
37743,How severe is your constipation?,That's not a problem for me.,759816,543-11
38265,Any tingling or numbness in your fingers?,No,762436,227-208
38563,Does your testicular pain radiate someplace else? Where?,I don't have any pain.,763210,1275
38749,Have you had your varicella vaccine?,Do you really need to know that?,763956,1763
38793,Do you ever engage in binge eating?,Uh...no.,763956,537
39561,Any tingling or numbness in your toes?,Nope.,765994,227-224
39563,Is there any stiffness in your toes?,No.,765994,551-224
39586,"Do you wish you were not alive anymore or fell asleep and didn't wake up? If so, how often have you had these thoughts?",No,765994,711
39587,Have you experienced the death of a close friend or relative?,No.,765994,19
39597,Do you have any pain in your eyes?,Uh...no.,765994,230-206
39882,Do you have dry mouth or eyes?,Uh...no.,766467,484
39948,Has there been any change in your fatigue/tiredness over time?,I don't have that problem.,766947,439-24
40368,Do you awaken frequently from sleep?,Nope.,769092,65
40904,Are you in good spirits most of the time?,Yup.,772529,733
41095,Have you fallen before?,I don't know why you are asking me this.,774633,1565
41558,What does your sputum look like?,Seems pretty normal to me.,777076,1407
41913,Do you have pneumonia now or have you had recurrent pneumonias?,No,779241,418
42403,Any problem moving your legs?,Nope.,780741,228-263
43927,Have you noticed any bleeding from your gums?,No,786843,1203
45008,Have you had a fever like this before?,Uh...no.,790036,242-25
45148,How severe (1-10 scale) is your mouth pain?,I don't have pain there.,790539,237-218
45497,Does anyone in your family have anxiety?,No,791240,444-6
45499,Does anyone in your family have similar problems with weakness?,No.,791240,444-38
45702,Has there been any change in your ability to accomplish familiar tasks?,Uh...no.,792107,438
47367,Have you ever been told that you exercise too much?,Nope.,800076,115
50454,How severe (1-10 scale) is your flank pain?,Why are you asking me that?  I don't have pain there.,808291,237-270
51104,Does anything make your swelling problem better or worse?,I haven't had that problem.,812577,244-22
51851,Does looking up or looking down aggravate your dizziness?,I haven't felt dizzy.,819611,1109
52549,Do you have a burning feeling in your throat at night or morning?,No,825368,304
53134,Do you have any lesions in your mouth?,Nope.,828004,1213
53880,Have you noticed a decline in your thinking?,No,831871,398
54623,Can you afford the diet or activities recommended by your healthcare provider?,Yes.,834003,1296
58535,How severe (1-10 scale) is the pain in your knee(s)?,Why are you asking me that?  I don't have pain there.,846831,237-257
58569,Do you have frothy urine?,Uh...no.,846831,379
58627,Have you noticed any trouble with your speech?,Uh...no.,846949,1110
59697,What are the events surrounding the start of your cough?,Don't have that problem.,850083,267-12
59699,Do you have any pain or other symptoms associated with your weakness?,Don't have that problem.,850083,598-38
60107,Is there pain at the site of the lump?,I don't have a lump.,850356,219
60535,Does the pain in your head radiate someplace else? Where?,That doesn't hurt.,851322,236-213
62152,Have you had confusion like this before?,Uh...no.,858592,242-10
62161,Do you feel upset when you experience things that remind you of what happened to you? For how long?,Nope.,858734,737
63683,Do you have a problem with your breast?,Uh...no.,864522,545-8
65581,Is there any stiffness in your shoulders?,Uh...no.,870174,551-253
65760,Can you describe a typical night's sleep?,Seems pretty normal to me.,870411,453
66286,What are the events surrounding the start of your pelvic pain?,Why are you asking me that?  I don't have pain there.,870932,600-273
68229,Have you recently had an indwelling venous catheter?,Uh...no.,874293,436
68450,Do you have more difficulty swallowing solids or liquids?,They're about the same.  I don't have a problem with either.,874633,344
69505,Do you have a history of polymyalgia rheumatica?,No.,875682,1144
70935,When did you last feel lightheaded?,I haven't had that problem.,877600,1681
72151,Have you been bitten by a spider?,Uh...no.,879381,1656
72152,Have you been bitten by a snake?,No.,879381,373
72264,Has there been any change in your constipation over time?,I don't have that problem.,879478,439-11
72365,Does your child go to day care?,What? Why are you asking this?,879542,1392
72388,Have you had weight gain problems like this before?,Nope.,879683,242-53
72590,Do you get sick leave?,Why do you need to know that?,879704,1294
72595,At what age did you become sexually active?,Do you really need to know that?,879704,678
72597,How often are you having intercourse?,Why do you need to know that?,879704,615
72599,Do you think you might have any sexual problems?,No.,879704,31
72601,Do you have pain with intercourse?,Nope.,879704,176
72602,Do you engage in anal intercourse?,Nope.,879704,323
72604,Do you perform or receive oral sex?,Nope.,879704,477
72606,Have you recently started taking birth control pills?,I don't take those.,879704,159
72609,Is your partner unemployed?,I don't know why you are asking me this.,879704,1588
72610,Does your partner have mental health problems (including undiagnosed conditions) and/or depression?,Uh.... why are you asking me this?,879704,1589
72611,Has there been a recent separation from your partner (in the last 12 months) or is one imminent?,Why are you asking me this?,879704,1586
72613,Does your partner have a problem with substance abuse such as alcohol or other drugs?,What? Why are you asking this?,879704,1590
72614,"Is your partner currently on bail or parole, or has served a time of imprisonment or has recently been released from custody in relation to offences of violence?",Uh.... why are you asking me this?,879704,1592
72615,"Has your partner ever done things to you, of a sexual nature, that made you feel bad or physically hurt you?",Uh.... why are you asking me this?,879704,1599
72664,Do you feel more fatigued/tired in the morning?,I don't feel tired.,879704,36
72690,Can you describe a specific episode of anxiety?,I haven't had that problem.,879704,190
72692,"Does your anxiety come on suddenly, then peak quickly and end within minutes?",I don't have anxiety.,879704,188
72693,Are you afraid of being embarrassed or humiliated?,No,879704,189
72694,Do you feel better on the weekends?,Nope.,879704,14
74525,What are the events surrounding the start of your fatigue/tiredness?,I don't have that problem.,881215,267-24
74666,Have you had a recent urinary catheter?,Uh...no.,881248,269
74742,Do you feel your muscles are tense?,No,881248,1180
75714,Does anyone in your family have diarrhea?,hx.reached-limit.adult-normal,882764,444-14
75850,Does a change in your position provoke lightheadedness?,What? Why are you asking this?,882828,1679
77548,Do you have a previous history of severe hypoglycemia?,No,884385,1217
77586,Does your chest pain get better with rest?,That doesn't hurt.,884458,1409
79348,Is your hearing loss the same in both ears?,I don't have hearing loss.,886209,404
79349,Do you have any pain or other symptoms associated with your hearing loss?,I don't have that problem.,886209,598-29
79364,How severe is your sore throat?,I don't really have that problem.,886209,543-46
79797,Are you able to have a bowel movement without using a laxative?,Yeah.,886486,292
79800,How long does your headache last?,I don't have a headache.,886486,1122
79852,Does anything make the pain in your feet better or worse?,I don't have pain there.,886492,234-255
81029,Do you have any pain in your hips?,Nope.,887409,230-256
81737,Do you have any other symptoms associated with your weight loss?,I haven't had that problem.,888157,598-54
82195,Have you had a similar difficulty urinating before?,Don't have that problem.,888902,1229
82266,Do you feel a lack of coordination?,No,888902,1121
82682,Do you regularly use soap and water to wash your hands before each meal?,Yup.,889196,1231
82700,"Have you ever suffered from painful priapism, an unwanted erection lasting more than four hours?",Uh...no.,889393,1159
82701,"Do your erections take longer to achieve, have shorter duration or less rigidity?",No,889393,383
82702,Do you have painful bending of your penis with erection?,Nope.,889393,384
83131,Do you now or have ever been diagnosed with H. pylori infection?,No.,891239,648
83620,When did the pain in your jaw start?,Why are you asking me that?  I don't have pain there.,892628,231-215
84058,Have you been exerting yourself in the heat?,Uh...no.,893148,56
84082,What treatments have you had for your constipation?,That's not a problem for me.,893148,590-11
84863,Does anyone in your family have a similar cough?,No.,894551,444-12
84879,When did your pain/discomfort with urination start?,I don't have that problem.,894645,561-20
85304,How severe (1-10 scale) is the pain in your feet?,That doesn't hurt.,895774,237-255
85507,Do you regularly wash your hands with soap and water after using the restroom?,Yeah.,896503,1232
85551,"Do your fainting episodes occur after coughing, urinating, defecating, or swallowing?",I haven't fainted.,896796,498
85637,What are the events surrounding the start of your bloody urine?,Don't have that problem.,896844,267-30
86163,What are the events surrounding the start of your problem with weight gain ?,I haven't had that problem.,897949,267-53
86342,Have you ever been diagnosed with hyperparathyroidism?,No,898045,662
87941,Does the pain in your arm(s) radiate someplace else? Where?,Why are you asking me that?  I don't have pain there.,899892,236-259
88069,Are you having any problems with facial expressions?,Nope.,900599,228-207
88089,Have you ever been diagnosed with syphilis?,Uh...no.,900599,1133
88280,Is the pain in your chest superficial (on the surface) or deep inside?,I don't have pain there.,900798,597-204
88568,Have you ever had genital sores?,Nope.,901242,41
88569,Do you have difficulty retracting your foreskin?,Uh...no.,901242,385
88767,Do you have excessive facial hair or acne?,Nope.,902135,126
89548,When did your testicular pain start?,I don't have pain.,904688,1268
89608,"If you wake in the middle of the night, are you able to fall asleep again?",I haven't had that problem.,904732,1423
89807,Do you have contact with farm or exotic animals?,Uh...no.,905232,1204
90807,Have you had pain in your arm(s) before?,I don't have pain there.,908269,592-259
91106,Do you tend to get the headaches when you are only in one location?,I don't have a headache.,909167,1170
91856,When did your problem with weakness start?,I don't really have that problem.,910829,561-38
92039,Have you been bitten by a dog or other animal?,No.,911224,1171
92041,Have you been exploring caves or had exposure to bats?,Nope.,911224,1172
92047,Have you ever been evaluated for fainting?,No,911224,1673
92048,Were you nauseated before you lost consciousness?,I haven't fainted.,911224,1209
92050,Can you describe what you were doing when you fainted?,I haven't fainted.,911224,487
92051,What did witnesses tell you they observed when you fainted?,I haven't fainted.,911224,488
92052,Do you sweat before you faint?,I haven't fainted.,911224,495
92053,Did you have a sense of deja vu before you fainted?,I haven't fainted.,911224,490
92054,Is your fainting associated with fear or intense emotion?,I haven't fainted.,911224,491
92056,Were you short of breath just before you fainted?,I haven't fainted.,911224,494
92057,Do you pass out with changes in position?,No,911224,497
92093,Do you have a family history of osteoporosis?,Uh...no.,911224,1175
94035,Where more precisely is the pain in your back?,Why are you asking me that?  I don't have pain there.,915798,1154
94450,Do you chew sugarless gum?,No,916868,320
94690,"Do you have any problems with your feet? If so, can you please describe?",No,918845,1345
94725,Do you wear glasses or contacts?,Why do you need to know that?,918845,1391
97034,Do any foods seem to bring the headaches on?,I don't have that problem.,924131,1194
98239,Any problem moving your mouth?,Nope.,927581,228-218
98689,Have you had any trauma to your pelvis?,No,929272,596-273
98892,Do you spend most of your time in bed?,Nope.,929421,524
100030,Do you have any genital sores or discharge?,Nope.,933726,482
100994,What are the events surrounding the start of your problem with constipation?,I don't really have that problem.,936864,267-11
102340,When did your urinary incontinence start?,I haven't had that problem.,940795,561-51
102883,Do you have any other symptoms associated with your chest pain?,No.,941547,1445
102885,Is there a pattern to your chest pain?,That doesn't hurt.,941547,233-204
102963,How often do you have problems with swelling?,I haven't had that problem.,941698,541-22
103064,How safe is your community? Are there guns and gangs you worry about?,It's not a problem.,941872,1298
104057,Are you color blind?,No.,945840,1696
104798,How often do you have diarrhea like this?,Don't have that problem.,948753,541-14
105936,What are the events surrounding the start of your back pain?,Why are you asking me that?  I don't have pain there.,955860,600-203
105941,What does your flank pain feel like?,That doesn't hurt.,955860,235-270
106070,Did most of your friends develop breasts and pubic hair before you?,No,956124,113
106071,Are most of your friends of the same age taller or shorter than you?,About my height.,956124,114
106075,When did your sore throat start?,I don't really have that problem.,956124,561-46
106946,Do you have hip or buttock cramps when walking?,No,964606,556
107172,Is your rash painful or itchy?,I don't have a rash.,966006,467
107997,What parts of your body did you hurt when you fell?,hx.reached-limit.adult-normal,969128,1564
108661,What treatments have you had for your weight gain problem?,I haven't had that problem.,971391,590-53
109102,When did your dizziness start?,I haven't had that problem.,974626,561-16
109497,Do you have a history of esophageal varices?,Nope.,975105,1189
109986,Tell me about your boyfriends and girlfriends.,There's not much to tell really.,975581,708
110058,Do you think about or feel like hurting others?,No.,975581,1347
110303,Have you had to deal with discrimination?,Uh...no.,975867,1304
111041,Have you had your meningococcal vaccine?,Uh..why do you need to know that?,977496,1759
111217,Do you have any sensitivity to light?,No,977766,403
111772,Do you ever hear speech but cannot understand it?,No,978589,409
111796,Do you have an erection when you wake up from sleep?,Uh...no.,978589,1383
112909,Do you have any pain in your mouth?,Nope.,980088,230-218
113131,Do you have difficulties performing intercourse with your partner?,No.,980131,381
113142,Have you had gout?,No.,980131,416
113639,Are you right or left handed?,I don't know why you are asking me this.,980429,1375
113740,Do loud noises bother you?,Not really.,980484,407
113741,Are your eyes red and/or irritated?,Uh...no.,980484,1123
114983,Do you engage in vaginal douching?,Why are you asking me? I'm a guy!,981137,698
115273,Have you recently had pharyngitis?,Uh...no.,981282,1168
115700,Do you have headaches at night?,Uh...no.,981665,102
115947,Have you had a history of migraines?,No,981846,1382
117351,Does anything make your constipation better or worse?,I haven't had that problem.,982869,244-11
117357,Does anyone in your family have problems with constipation?,No.,982869,444-11
118478,Does your headache pulsate?,I don't have a headache.,984924,1364
119300,Do you have difficulty waking up?,Uh...no.,986558,1388
119995,Do you have abnormal vaginal bleeding?,Why are you asking me? I'm a guy!,988285,545-1
120453,Is there any pattern to when your erectile dysfunction occurs?,I haven't had that problem.,991009,542-23
122125,When did you first notice you were coughing up blood?,Don't have that problem.,997607,561-31
122136,How often do you feel lightheaded?,I haven't had that problem.,997607,1685
122152,Does anything make your lightheadedness better or worse?,I haven't had that problem.,997607,1683
122190,Does the pain in your chest come and go?,Why are you asking me that?  I don't have pain there.,997607,238-204
122197,What do your menstrual clots look like?,I'm a guy!,997607,414
123404,Any tingling or numbness in your hands?,No,1004017,227-260
123584,How severe (1-10 scale) is your ankle pain?,That doesn't hurt.,1004650,237-254
125023,What are the events surrounding the start of your night sweats?,That's not a problem for me.,1008674,267-41
125100,Any change in the appearance or position of your nipple(s)?,Uh...no.,1008695,1373
125120,Have you listened to loud music or worked at jobs with high levels of noise?,No,1008695,1365
125123,Do you now or have you ever had problems getting pregnant?,I'm a guy!,1008695,610
125140,Do you have any pain in your ankles?,Uh...no.,1008695,230-254
125141,When did your ankle pain start?,That doesn't hurt.,1008695,231-254
125209,When did your night sweats start?,I don't have that problem.,1008779,561-41
125709,Are you having any problems with your periods?,Haven't you noticed? I'm a guy!,1009246,106
125710,How regular are your periods?,Haven't you noticed? I'm a guy!,1009246,109
125878,How quickly does your diarrhea come on?,I haven't had that problem.,1009642,603-14
125882,How long have you been trying to get pregnant?,Why are you asking me? I'm a guy!,1009642,611
125927,"Do you use aids or assistive devices for dressing (button hook, zipper pull, shoe horn, etc.)?",Uh...no.,1009642,1769
125928,"Do you use aids or assistive devices for personal hygiene (bathtub bar, long-handled appliances in bathroom, raised toilet seat, etc.)?",Nope.,1009642,1770
125929,"Are you able to do housework (e.g., vacuum, laundry, dishes)?",Why are you asking me this?,1009642,1744
125930,Do you use any long-handled appliances for reach?,No,1009642,1771
125931,"Can you do your own shopping (e.g., grocery, drug store)?",Why are you asking me this?,1009642,1746
126030,Does anyone in your family have problems with low blood pressure?,What? Why are you asking this?,1009824,1688
127163,How often have you had problems with weight gain?,I haven't had that problem.,1011042,541-53
127164,Is there any pattern to your problems with weight gain?,Don't have that problem.,1011042,542-53
127306,What time do you go to sleep on weekdays? On weekends?,About the same time.  Around 9 or 10.,1011291,74
127381,What are the events surrounding the start of your headache?,I haven't had that problem.,1011343,267-28
127429,What treatments have you had for your low blood pressure?,That's not a problem for me.,1011343,1695
129124,Do you have skin dimpling or retraction on your breasts?,Nope.,1012129,1390
129125,Do you have any pain in your breasts?,No.,1012129,230-272
129126,Is the pain in your breasts superficial (on the surface) or deep inside?,Why are you asking me that?  I don't have pain there.,1012129,597-272
129132,When did your groin pain start?,I don't have any pain.,1012129,1257
129135,What are the events surrounding the start of your feet pain?,I don't have pain there.,1012129,600-255
129656,Are you able to plan and prepare your own meals?,I don't know why you are asking me this.,1012203,1747
129660,Are you able to drive?,Why are you asking me this?,1012203,1745
129661,Can you handle your bills and finances without assistance?,Why are you asking me this?,1012203,1748
130739,Have you recently had a foreign body obstruction?,Uh...no.,1015338,475
130742,Do you have a history of malnutrition?,Nope.,1015338,1118
131173,Do you use a wheelchair?,Nope.,1016641,1768
131308,Have you been in a hot tub recently?,No.,1017596,468
131355,Do you have a history of chronic hemolytic anemia such as sickle cell disease?,No,1017596,632
131364,Do you have a history of osteoporosis?,No,1017596,1155
131396,How does your diagnosis affect your family/children?,Why are you asking me this?,1017596,1735
131667,Do you have any other symptoms associated with your urination difficulty?,That's not a problem for me.,1019837,1660
131687,Describe your activities shortly before bedtime.,Nothing unusual to tell you.,1019925,75
132126,Is your pelvic pain superficial (on the surface) or deep inside?,I don't have pain there.,1023588,597-273
132253,"Do you find that it is hard to experience feelings like happiness, love or satisfaction?",Uh...no.,1023962,738
132538,Have you seen many different doctors about your symptoms?,I don't know why you are asking me this.,1024343,1655
132791,Do you have any pain in your knees?,Uh...no.,1025396,230-257
134625,Does your difficulty breathing keep you from sleeping?,I don't have difficulty breathing ... I am feeling a little short of breath.,1033709,602-19
134650,Do you have discharge or bleeding from your ears?,No.,1033709,3
134655,Do you have difficulty chewing?,Uh...no.,1033709,1387
134678,Do you have problems wearing shoes?,Nope.,1033709,167
135930,Do you have a history of SLE (lupus)?,Uh...no.,1036378,1149
136704,Do you have any other symptoms associated with your pain/discomfort when urinating?,I don't have that problem.,1038052,598-20
136715,Any problem moving your shoulders?,Nope.,1038052,228-253
137219,Have you ever had bronchitis?,No,1045445,607
137253,Tell me about the last time you felt dizzy.,I haven't felt dizzy.,1045445,335
137496,Do you see any flashing lights?,Nope.,1046631,61
137500,Do you have any pain when chewing?,Uh...no.,1046631,48
137595,Have you ever had genital warts?,Uh...no.,1046631,1205
137618,Do you wear a bike helmet when riding a bicycle or motorcycle?,Yeah.,1046631,624
138302,Have you had problems coughing up blood before?,Uh...no.,1049807,242-31
142326,Have you had rashes like this before?,No,1071949,242-44
142820,Is your bleeding irregular in amount or duration?,I'm a guy!,1075229,148
143391,Have you recently had mononucleosis or a cytomegalovirus (CMV) infection?,No,1079708,669
144073,Are you a heavy snorer?,No,1082968,96
150696,When did you first notice your swollen lymph nodes?,That's not a problem for me.,1128837,561-47
151588,Does anything make your swollen lymph nodes better or worse?,I don't have that problem.,1135983,244-47
151787,Have you noticed your child pulling on his or her ear?,Uh.... why are you asking me this?,1136328,1403
155271,How often does this chest pain occur?,I don't have pain there.,1154667,599-204
155272,How quickly does the pain in your chest come on?,I don't have pain there.,1154667,232-204
155944,Has your cough persisted after having flu-like symptoms?,I don't have a cough.,1157151,301
156181,Do your limbs sometimes twitch or can't keep still?,No.,1157875,98
158658,Does your dizziness keep you from sleeping?,I don't have that problem.,1169387,602-16
159895,When did your bruises appear?,Why are you asking me this?,1173456,1567
161730,On what part of your body did the rash start and where did it spread?,I don't have a rash.,1180741,461
161839,When did you fall?,Uh.... why are you asking me this?,1180820,1563
161840,Can you describe how you fell?,Why are you asking me this?,1180820,1562
161843,Have you had a recent crush injury?,Nope.,1180820,1143
170494,Does anything make your flank pain better or worse?,I don't have pain there.,1202405,234-270
170495,What are the events surrounding the start of your flank pain?,I don't have pain there.,1202405,600-270
173370,When did your headache start?,I haven't had that problem.,1208993,561-28
173373,Do your headaches improve when you drink caffeine?,I don't have a headache.,1208993,1147
173374,Does your headache change with exercise?,I don't have a headache.,1208993,1135
173375,Do your headaches occur when your caffeine intake changes?,I don't have a headache.,1208993,1146
173378,Does anything make the pain in your shoulder(s) better or worse?,I don't have pain there.,1208993,234-253
173379,Is the pain in your shoulder(s) superficial (on the surface) or deep inside?,I don't have pain there.,1208993,597-253
173426,Do you use any objects to clean your ears?,Uh...no.,1208993,367
173903,Do you have any pain in your hands?,Nope.,1209343,230-260
173939,"Is your difficulty breathing better or worse at any time of day, week or year?",I don't have difficulty breathing ... I am feeling a little short of breath.,1209343,310-19
173940,Does anyone in your family have difficulty breathing?,No,1209343,444-19
174009,Is the pain in your arm(s) superficial (on the surface) or deep inside?,I don't have pain there.,1209343,597-259
174031,Where more precisely is the swelling?,Uh.... why are you asking me this?,1209380,1413
174240,Does anything make your problem with weight gain better or worse?,I haven't had that problem.,1209466,244-53
175722,Do you have any dimming of your vision?,Uh...no.,1213626,1672
175723,Have you noticed any distortions or loss of your central vision?,Nope.,1213626,1670
176620,Do you have a mole that has changed?,No,1216903,478
177746,Any tingling or numbness in your ankles?,Uh...no.,1223762,227-254
177749,Any problem moving your eyes?,No,1223762,228-206
177838,Do you hold on to furniture when you walk?,Uh...no.,1224325,1749
177840,"Do you use a cane, crutches or walker?",Nope.,1224325,1415
177841,Does your problem with swelling come and go?,That's not a problem for me.,1224325,604-22
177842,Do you have any pain or other symptoms associated with your swelling?,I haven't had that problem.,1224325,598-22
177843,How long does your swelling last?,I don't really have that problem.,1224325,1370
178698,Does anything make your pelvic pain better or worse?,I don't have pain there.,1226669,234-273
178771,Do you have any other symptoms associated with your anxiety?,Don't have that problem.,1226669,598-6
179067,Where more precisely is your ankle pain?,I really don't have pain.,1227439,1311
179068,What does your ankle pain feel like?,That doesn't hurt.,1227439,235-254
180955,Do you have a history of spinal cord injury?,No.,1234763,653
180957,Have you had any trauma to your arm(s)?,Nope.,1234763,596-259
180976,Do you carry an epi pen with you?,Uh...no.,1234763,1739
182055,"Have you ever been diagnosed with essential thrombocythemia, polycythemia vera or CML?",Nope.,1240941,666
182061,Do you have a history of sarcoidosis?,Uh...no.,1240941,1151
184337,Are you able to ejaculate?,What? Why are you asking this?,1251275,1343
184608,Does anything make your headache better or worse?,Don't have that problem.,1254076,244-28
184647,"Have you ever had times when your mood was good, or too good, for no reason?",No.,1254334,311
185701,Does your diarrhea keep you from sleeping?,Don't have that problem.,1263689,602-14
185806,Do you have any ear itching?,No,1265447,371
186035,Have you had blood in your urine before?,No,1272352,242-30
186067,Does anyone else in your family have a fever?,Nope.,1272352,444-25
186131,Does your vision change with certain visual activities?,No,1272713,333
186826,"Have you been to a party, rave or night club recently?",No.,1301227,1174
187072,When did your flank pain start?,That doesn't hurt.,1308247,231-270
187667,What are the events surrounding the start of your swelling problem?,That's not a problem for me.,1317735,267-22
187668,When did your swelling start?,I don't have that problem.,1317735,561-22
187671,How severe is your swelling?,That's not a problem for me.,1317735,543-22
187672,Have you had swelling like this before?,No,1317735,242-22
187673,Has there been any change in your swelling problem over time?,I don't have that problem.,1317735,439-22
187683,What are the events surrounding the start of your sore throat?,That's not a problem for me.,1317735,267-46
187684,What does the pain in your throat feel like?,I don't have pain there.,1317735,235-223
187691,"When you pee, is the stream or flow of urine weak or do you dribble?",No,1317735,521
,About where is that stomach pain?,All over my belly. Everywhere!,,
,Do you remember what was going on when that started?,Just started up again 2 days ago. I hadn't had any problems since they shocked me a year ago.,,
,Have you sought any other treatment for your stomach pain?,Nothing.,,
,Sleeping normally?,Seems pretty normal to me.,,
,How's your sleep?,Seems pretty normal to me.,,
,How is your urination?,Fine.,,
,How's your back?,Fine.,,
,Have you tried eating?,"It was fine this morning, but I haven't eaten since the pain started.",,
,Can you tell me more about what the stomach pain feels like?,Sharp! It's bad.,,
,You haven't experienced any trauma to your stomach correct?,No. Nothing.,,
,Have you ever had surgery?,"No, just that electrical treatment to my heart?",,
,Can you tell me about your heart problems?,"I don't have a bad disease, but a year ago they did find out that I have some blockage. Not bad enough to do anything about it though.",,
,How old was your father?,65 when he passed away.,,
,Any history of cancer in your family?,No.,,
,How's your family's health?,"Fine, I think.",,
,Are we done here?,"Well, I've been sick to my stomach and throwing up.",,
,Anything else you can think of before we finish?,I've been sick to my stomach and throwing up.,,
,Does your stomach hurt when you move?,It doesn't matter what I do. It just hurts and it won't go away.,,
,Does your stomach hurt when you're sitting?,It doesn't matter what I do. It just hurts and it won't go away.,,
,Does your stomach hurt when you aren't moving?,It doesn't matter what I do. It just hurts and it won't go away.,,
,How are you?,I've had really bad pain in my belly for the last 4 hours. My wife brought me in because it's so bad.,,
,How are you doing?,I've had really bad pain in my belly for the last 4 hours. My wife brought me in because it's so bad.,,
,Are you Tom Bradford?,That's me.,,
,Are you Tom?,That's me.,,
,Are you Mr. Bradford?,That's me.,,
,Have you eaten today?,I had some oatmeal this morning. Several hours before this started. ,,
,What have you eaten today?,I had some oatmeal this morning. Several hours before this started. ,,
